backend,shots,depth,rep,raw_depth,isa_depth,p_success,fidelity_est,p1q,p2q,pread
aer_simulator,4000,2,1,9,16,0.841250,0.818571,0.005000,0.030000,0.020000
aer_simulator,4000,2,2,9,20,0.828750,0.804286,0.005000,0.030000,0.020000
aer_simulator,4000,2,3,9,13,0.841750,0.819143,0.005000,0.030000,0.020000
aer_simulator,4000,2,4,9,14,0.837000,0.813714,0.005000,0.030000,0.020000
aer_simulator,4000,2,5,9,13,0.846750,0.824857,0.005000,0.030000,0.020000
aer_simulator,4000,4,1,17,25,0.772000,0.739429,0.005000,0.030000,0.020000
aer_simulator,4000,4,2,17,31,0.759750,0.725429,0.005000,0.030000,0.020000
aer_simulator,4000,4,3,17,35,0.740250,0.703143,0.005000,0.030000,0.020000
aer_simulator,4000,4,4,17,37,0.748250,0.712286,0.005000,0.030000,0.020000
aer_simulator,4000,4,5,17,29,0.757750,0.723143,0.005000,0.030000,0.020000
aer_simulator,4000,6,1,25,45,0.669500,0.622286,0.005000,0.030000,0.020000
aer_simulator,4000,6,2,25,51,0.681000,0.635429,0.005000,0.030000,0.020000
aer_simulator,4000,6,3,25,52,0.658250,0.609429,0.005000,0.030000,0.020000
aer_simulator,4000,6,4,25,51,0.682000,0.636571,0.005000,0.030000,0.020000
aer_simulator,4000,6,5,25,59,0.659250,0.610571,0.005000,0.030000,0.020000
aer_simulator,4000,8,1,33,85,0.588000,0.529143,0.005000,0.030000,0.020000
aer_simulator,4000,8,2,33,69,0.577500,0.517143,0.005000,0.030000,0.020000
aer_simulator,4000,8,3,33,69,0.583500,0.524000,0.005000,0.030000,0.020000
aer_simulator,4000,8,4,33,61,0.596500,0.538857,0.005000,0.030000,0.020000
aer_simulator,4000,8,5,33,57,0.587250,0.528286,0.005000,0.030000,0.020000
aer_simulator,4000,10,1,41,65,0.552000,0.488000,0.005000,0.030000,0.020000
aer_simulator,4000,10,2,41,76,0.521750,0.453429,0.005000,0.030000,0.020000
aer_simulator,4000,10,3,41,82,0.499000,0.427429,0.005000,0.030000,0.020000
aer_simulator,4000,10,4,41,66,0.529000,0.461714,0.005000,0.030000,0.020000
aer_simulator,4000,10,5,41,83,0.509250,0.439143,0.005000,0.030000,0.020000
aer_simulator,4000,12,1,49,116,0.468250,0.392286,0.005000,0.030000,0.020000
aer_simulator,4000,12,2,49,114,0.465000,0.388571,0.005000,0.030000,0.020000
aer_simulator,4000,12,3,49,111,0.475500,0.400571,0.005000,0.030000,0.020000
aer_simulator,4000,12,4,49,91,0.462000,0.385143,0.005000,0.030000,0.020000
aer_simulator,4000,12,5,49,106,0.470500,0.394857,0.005000,0.030000,0.020000
aer_simulator,4000,16,1,65,129,0.383250,0.295143,0.005000,0.030000,0.020000
aer_simulator,4000,16,2,65,139,0.385500,0.297714,0.005000,0.030000,0.020000
aer_simulator,4000,16,3,65,149,0.377500,0.288571,0.005000,0.030000,0.020000
aer_simulator,4000,16,4,65,119,0.379750,0.291143,0.005000,0.030000,0.020000
aer_simulator,4000,16,5,65,115,0.380250,0.291714,0.005000,0.030000,0.020000
aer_simulator,4000,20,1,81,174,0.288250,0.186571,0.005000,0.030000,0.020000
aer_simulator,4000,20,2,81,169,0.315250,0.217429,0.005000,0.030000,0.020000
aer_simulator,4000,20,3,81,165,0.293000,0.192000,0.005000,0.030000,0.020000
aer_simulator,4000,20,4,81,157,0.309000,0.210286,0.005000,0.030000,0.020000
aer_simulator,4000,20,5,81,179,0.303000,0.203429,0.005000,0.030000,0.020000
